words	score	chen	\dylan	3rd
breastfeeding	seedwords			
rape	seedwords			
women	seedwords			
offender	seedwords			
woman	seedwords			
pregnancy	seedwords			
sex	seedwords			
maternal	seedwords			
pregnancies	0.5498475432395935			
norplant	0.524976909160614			
impregnated	0.5221062898635864			
premarital	0.5192051529884338			
amniocentesis	0.5187013745307922			
circumcised	0.51778644323349			
childbirth	0.5051131844520569			
miscarrying	0.4956783652305603			
prostitutes	0.4919619560241699			
breastfeed	0.4904056787490845			
prenatal	0.49019163846969604			
newborns	0.489840567111969			
molest	0.48861178755760193			
menopause	0.48647016286849976			
pregnancyrelated	0.48466822504997253			
csections	0.48451822996139526			
stds	0.4822472631931305			
adolescent	0.48186516761779785			
electively	0.47902774810791016			
covictims	0.4784758687019348			
abort	0.47814375162124634			
prostitution	0.4766921103000641			
incest	0.475811243057251			
infertility	0.47315919399261475			
impregnating	0.47313404083251953			
molesting	0.4727720320224762			
sexually	0.4726201593875885			
infants	0.4701589047908783			
mothertobe	0.46872884035110474			
preg	0.46783292293548584			
chlamydia	0.466697096824646			
fgm	0.46617990732192993			
sexselective	0.46486008167266846			
nonmarital	0.4633841812610626			
females	0.4629918038845062			
tubal	0.46237650513648987			
fibroids	0.4612204432487488			
mutilation	0.46000802516937256			
youngwomen	0.4595264792442322			
teenaged	0.4591905176639557			
girlsare	0.45908528566360474			
promiscuity	0.4585636556148529			
genital	0.4572272300720215			
impregnate	0.45697706937789917			
circumcision	0.45664966106414795			
maltreatment	0.45547568798065186			
unwed	0.45536476373672485			
prostitute	0.4549054205417633			
raped	0.45321762561798096			
postpartum	0.4528869390487671			
sterilized	0.45275619626045227			
miscarriages	0.4510767161846161			
sexselection	0.4497819244861603			
spermicide	0.44916364550590515			
condom	0.4489816427230835			
pregnant	0.44862568378448486			
childbearing	0.4477100372314453			
genitally	0.44711655378341675			
drugaddicted	0.44416847825050354			
hivexposed	0.44363933801651			
contraception	0.4436195492744446			
childrensometimes	0.44328707456588745			
fistula	0.4428786635398865			
molesters	0.4406397044658661			
molested	0.4405597448348999			
aborting	0.43948954343795776			
fertility	0.4391327500343323			
iuds	0.43862563371658325			
wonian	0.4380374550819397			
perinatal	0.43772169947624207			
teenagers	0.43764737248420715			
womenand	0.43720778822898865			
teenage	0.4364943206310272			
preteen	0.43639490008354187			
uterine	0.4363384246826172			
csection	0.4359733462333679			
preborn	0.4356575310230255			
sodomy	0.4355975091457367			
contraceptives	0.4349218010902405			
gestational	0.43364766240119934			
drugabusing	0.43235835433006287			
crackaddicted	0.43180063366889954			
std	0.4306662976741791			
substanceabusing	0.4303785264492035			
abortions	0.4298953413963318			
fetuses	0.42901477217674255			
sterilization	0.4289763271808624			
pimps	0.42583411931991577			
newborn	0.4258109927177429			
girls	0.42574942111968994			
miscarry	0.42528030276298523			
trimesters	0.4252612590789795			
infant	0.4245245158672333			
brides	0.42431795597076416			
womans	0.4234544336795807			
fetus	0.42236459255218506			
uteruses	0.42232584953308105			
pimp	0.42151811718940735			
acne	0.42146193981170654			
herpes	0.4194551110267639			
