words	score	chen	\dylan	3rd
hired	seedwords			
selfemployment	seedwords			
reemployment	seedwords			
nondiscrimination	seedwords			
contractor	seedwords			
layoff	seedwords			
jobless	seedwords			
unemployed	seedwords			
unemployment	seedwords			
singleemployer	seedwords			
jobs	seedwords			
workforce	seedwords			
reemployed	0.5960695147514343			
laidoff	0.5651101469993591			
employment	0.5424251556396484			
lowpaid	0.5131760835647583			
entrylevel	0.4905705451965332			
underemployed	0.48909512162208557			
tjtc	0.48257720470428467			
ui	0.47686803340911865			
taacertified	0.4767138659954071			
nonfarm	0.47435104846954346			
outofwork	0.46979454159736633			
lowskill	0.4627373516559601			
jobseekers	0.4622814953327179			
retraining	0.46148794889450073			
workingage	0.45570123195648193			
rehired	0.4550984501838684			
taaeligible	0.4542274475097656			
layoffs	0.44887465238571167			
payrolls	0.4473780691623688			
jobready	0.44650328159332275			
rehiring	0.44602543115615845			
dislocated	0.44592446088790894			
underemployment	0.44357603788375854			
semiskilled	0.44070589542388916			
pwds	0.44034990668296814			
employable	0.44003790616989136			
euc	0.4393017888069153			
ployment	0.4388418197631836			
lowerpaid	0.43754830956459045			
lowerskilled	0.4357261061668396			
openings	0.43520087003707886			
hires	0.43509337306022644			
higherpaid	0.43504831194877625			
apprentices	0.43379661440849304			
unem	0.4322132468223572			
employers	0.43216729164123535			
taa	0.4311808943748474			
workersand	0.4308086335659027			
rehire	0.4299527108669281			
employes	0.42284172773361206			
ssdi	0.421871542930603			
naftataa	0.4184780716896057			
occupations	0.41752123832702637			
almacs	0.4171733856201172			
parttimers	0.41294214129447937			
jobsmany	0.4127047061920166			
lowerwage	0.4118913412094116			
highskilled	0.41179925203323364			
wotc	0.4117530584335327			
jobsin	0.40999799966812134			
nonmanufacturing	0.40951836109161377			
employersponsored	0.409176766872406			
workers	0.40836361050605774			
hourly	0.40808066725730896			
jobsare	0.40792882442474365			
onthejob	0.40776529908180237			
wia	0.40731918811798096			
outplacement	0.40564224123954773			
retrained	0.405130535364151			
lvers	0.4025646150112152			
lessskilled	0.4016021192073822			
parttime	0.39972811937332153			
apprenticeship	0.3994990885257721			
unemployedthose	0.3991240859031677			
lowwage	0.3985103666782379			
unskilled	0.39718097448349			
jobseeking	0.3968091309070587			
temporaries	0.39614540338516235			
highestpaid	0.39550045132637024			
higherwage	0.3946061432361603			
workersthe	0.3942298889160156			
tradedisplaced	0.39326322078704834			
fmla	0.39300861954689026			
workforceare	0.3929225206375122			
woikers	0.3927730917930603			
jbs	0.39113783836364746			
jobyears	0.3903290331363678			
teleworkers	0.3900874853134155			
unemployable	0.3889125883579254			
collegeeducated	0.38844358921051025			
unemployeda	0.38742929697036743			
tradeimpacted	0.38623735308647156			
reemploy	0.3861839771270752			
nonunionized	0.38472074270248413			
payroll	0.38456061482429504			
salaried	0.38240793347358704			
ceta	0.3814682364463806			
familysupporting	0.3813287615776062			
jobsgood	0.37970054149627686			
hardtoemploy	0.3795888125896454			
employed	0.37951478362083435			
nonsupervisory	0.3792794942855835			
jobsand	0.37897756695747375			
nonunion	0.37828153371810913			
ployers	0.37774720788002014			
goodpaying	0.37759530544281006			
unemploy	0.3769330382347107			
rif	0.376240074634552			
steelworker	0.3761197030544281			
jobbased	0.37549397349357605			
