IP,ip,intellectual,property,safeharbor,trademarks,copyright,copyrights,copyrighted,patent,patents,patented,invention,inventor,invent,infringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,information,technology,tech,hightech,telephone,wireless,cable,transmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abortion,abortion,prochoice,parenthood,abortions,pregnancy,fetal,fetus,prolife,partialbirth,pregnancy,contraception,aborting,lateterm,thirdtrimester,womb,fetuses,zygote,life,choice,rape,baby,babies,birth,partial,,,,,,,,,,,,,,,,,,,,,,,,
academic,academic,academies,education,teaching,teach,faculty,university,fellowship,doctoral,biotechnology,cloning,nanotechnology,science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agriculture,agriculture,farm,farming,harvest,harvested,crop,wheat,planting,farmland,dairy,ranch,corn,grazing,grain,milk,livestock,irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business,business,corporation,startup,entrepreneur,estate,antitrust,familyowned,entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
children,children,child,infant,infants,toddler,toddlers,baby,babies,youngster,teenager,teenagers,adolescent,kids,boy,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china,tibet,xinjiang,china,beijing,chinese,chinas,taiwanese,prc,prcs,peoplesrepublic,taiwans,taipei,beijings,shanghai,guangzhou,nanjing,wuhan,peking,shenzhen,mainland,tiananmen,,,,,,,,,,,,,,,,,,,,,,,,,,,
commerce,commerce,consumer,customer,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crime,crime,criminal,recidivism,offenders,felonies,homicide,murder,rape,violent,gang,prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
culture,culture,cultural,cultures,multiculturalism,tradition,movie,film,art,museum,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homelandsecurity,defense,dod,homeland,DHS,aliens,border,safeguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detainee,detainee,detention,interrogation,gitmo,torture,combatant,guantanamo,captives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disadvantaged,disadvantaged,underprivileged,underrepresented,impoverished,needy,wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disaster,disaster,earthquake,flood,hurricane,katrina,floods,evacuation,storms,tsunami,fatalities,wildfires,tornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discrimination,discrimination,africanamericans,nondiscrimination,antidiscrimination,prejudice,intolerance,disparities,sex,race,orientation,antisemitism,gender,fairness,blm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disease,disease,alzheimers,huntingtons,immunodeficiency,cancer,parkinsons,ebola,polio,infection,inflammatory,malaria,virus,covid,coronavirus,pandemic,epidemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
